model,benchmark,specification,estimand,records,source_video_clusters,coefficient,cluster_se,ci_low,ci_high,p_two_sided,predictor_scale,raw_gap,main_abs_sum_gap,outside_support_low,outside_support_high,p_bh_within_specification
videollama3_7b,lvbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.2565874154906099,0.025183134664037817,0.20663678729042617,0.3065380436907937,3.109463979734604e-17,0.5,0.2565874154906099,0.6654390797866507,0.04696520090103149,2.1629192598722873,7.995764519317553e-17
videollama3_7b,lvbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.02819371102751371,0.008777178207525604,0.01078421966991278,0.045603202385114644,0.0017630896235313566,0.5,0.2565874154906099,0.6654390797866507,0.04696520090103149,2.1629192598722873,0.00528926887059407
videollama3_7b,lvbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.041559534806139,0.006729311096086841,0.028211978154106632,0.05490709145817137,1.3560985068039116e-08,0.5,0.2565874154906099,0.6654390797866507,0.04696520090103149,2.1629192598722873,8.13659104082347e-08
videollama3_7b,lvbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.03291751240919992,0.009517232373637908,0.01404012712208507,0.05179489769631477,0.000793267191630688,0.5,0.2565874154906099,0.6654390797866507,0.04696520090103149,2.1629192598722873,0.001586534383261376
videollama3_7b,lvbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2706,103,0.03645039068702408,0.009801595256026079,0.017008972971000055,0.05589180840304811,0.0003274747742370973,0.4981270321559578,0.2565874154906099,0.6654390797866507,0.04696520090103149,2.1629192598722873,0.000491212161355646
videollama3_7b,nextgqa,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.09179672534236055,0.012141217361912832,0.06792494069261566,0.11566850999210544,2.993969473198494e-13,0.5,0.09179672534236065,0.25747537287604066,0.023910592198371886,1.9142868569493292,3.5927633678381933e-13
videollama3_7b,nextgqa,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.009164740081642739,0.004884184158248669,-0.00043843140766485975,0.018767911570950337,0.061358963239819105,0.5,0.09179672534236065,0.25747537287604066,0.023910592198371886,1.9142868569493292,0.09203844485972866
videollama3_7b,nextgqa,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.011374049605892535,0.004359338753475825,0.0028028171803273546,0.019945282031457713,0.009433070520891089,0.5,0.09179672534236065,0.25747537287604066,0.023910592198371886,1.9142868569493292,0.009987957022119978
videollama3_7b,nextgqa,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.010437890733726543,0.0049412511960567305,0.0007225153363144398,0.020153266131138645,0.0352990537227626,0.5,0.09179672534236065,0.25747537287604066,0.023910592198371886,1.9142868569493292,0.0352990537227626
videollama3_7b,nextgqa,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2862,384,0.011557012606648888,0.0043258599129166134,0.0030516055137772592,0.020062419699520516,0.007870972696082315,0.4998142748909216,0.09179672534236065,0.25747537287604066,0.023910592198371886,1.9142868569493292,0.008333971089969512
